Name,Address,Mobile,Email,Categories,Opening Times,text,docno
JATTA HAIR AND MAKE- UP,"Schipfe 45, 8001 Zurich",043 497 39 30,jatta@bluewin.ch,['Hairdresser'],"{'Monday': 'Closed', 'Tuesday': '9:00- to 18:00', 'Wednesday': '9:00- to 20:00', 'Thursday': '9:00- to 20:00', 'Friday': '9:00- to 20:00', 'Saturday': '9:00- to 16:00', 'Sunday': 'Closed'}","Name: JATTA HAIR AND MAKE- UP | Address: Schipfe 45, 8001 Zurich | Categories: Hairdresser",2153
mad HAIRSTYLING,"Nüschelerstrasse 31, 8001 Zurich",044 221 12 42,info@madhairstyling.ch,['Hairdresser'],"{'Monday': '9:00- to 18:00', 'Tuesday': '10:00- to 19:00', 'Wednesday': '9:00- to 18:00', 'Thursday': '10:00- to 19:00', 'Friday': '10:00- to 19:00', 'Saturday': '9:00- to 18:00', 'Sunday': 'Closed'}","Name: mad HAIRSTYLING | Address: Nüschelerstrasse 31, 8001 Zurich | Categories: Hairdresser",2187
mad HAIRSTYLING,"Kalkbreitestrasse 138, 8003 Zurich",043 333 22 33,info@madhairstyling.ch,['Hairdresser'],"{'Monday': '9:00- to 19:00', 'Tuesday': '9:00- to 19:00', 'Wednesday': '9:00- to 19:00', 'Thursday': '9:00- to 19:00', 'Friday': '9:00- to 19:00', 'Saturday': '9:00- to 18:00', 'Sunday': 'Closed'}","Name: mad HAIRSTYLING | Address: Kalkbreitestrasse 138, 8003 Zurich | Categories: Hairdresser",2188
mad HAIRSTYLING,"Europaallee 37, 8004 Zurich",044 370 37 37,info@madhairstyling.ch,['Hairdresser'],"{'Monday': '10:00- to 19:00', 'Tuesday': '10:00- to 19:00', 'Wednesday': '9:00- to 18:00', 'Thursday': '10:00- to 19:00', 'Friday': '11:00- to 20:00', 'Saturday': '9:00- to 18:00', 'Sunday': 'Closed'}","Name: mad HAIRSTYLING | Address: Europaallee 37, 8004 Zurich | Categories: Hairdresser",2189
Mesel Coiffeure,"Neugasse 31, 8005 Zurich",076 680 13 61,meselokube@yahoo.com,['Hairdresser'],{'Opening Hours': 'Missing'},"Name: Mesel Coiffeure | Address: Neugasse 31, 8005 Zurich | Categories: Hairdresser",2204
Opera,"Seefeldstrasse 4, 8008 Zurich",044 252 56 70,franco.gambone@gmail.com,['Hairdresser'],"{'Monday': '8:00- to 18:30', 'Tuesday': '8:00- to 18:30', 'Wednesday': '8:00- to 18:30', 'Thursday': '8:00- to 18:30', 'Friday': '8:00- to 18:30', 'Saturday': '8:00- to 16:00', 'Sunday': 'Closed'}","Name: Opera | Address: Seefeldstrasse 4, 8008 Zurich | Categories: Hairdresser",2234
Struwwelpeter,"Forchstrasse 92, 8008 Zurich",044 380 42 41,struwwelpeter@hotmail.ch,['Hairdresser'],"{'Monday': 'Closed', 'Tuesday': '9:30- to 19:00', 'Wednesday': '9:30- to 19:00', 'Thursday': '9:30- to 19:00', 'Friday': '9:30- to 19:00', 'Saturday': '9:30- to 16:00', 'Sunday': 'Closed'}","Name: Struwwelpeter | Address: Forchstrasse 92, 8008 Zurich | Categories: Hairdresser",2291
haarbar,"Hallwylstrasse 63, 8004 Zurich",044 242 42 11,info@haarbar.com,['Missing'],{'Opening Hours': 'Missing'},"Name: haarbar | Address: Hallwylstrasse 63, 8004 Zurich | Categories: Missing",2672
Haarpalast,"Forchstrasse 109, 8032 Zurich",044 382 05 93,info@haarpalast.ch,['Missing'],"{'Monday': 'Closed', 'Tuesday': '9:00- to 18:00', 'Wednesday': '9:00- to 18:00', 'Thursday': '9:00- to 18:00', 'Friday': '9:00- to 18:00', 'Saturday': '9:00- to 13:00', 'Sunday': 'Closed'}","Name: Haarpalast | Address: Forchstrasse 109, 8032 Zurich | Categories: Missing",2675
SOLOMON BARBERSHOP ZURICH,"Zypressenstrasse 54, 8004 Zurich",044 304 88 56,solomonbarbershop2020@gmail.com,['Missing'],"{'Monday': '9:00- to 20:00', 'Tuesday': '9:00- to 20:00', 'Wednesday': '9:00- to 20:00', 'Thursday': '9:00- to 20:00', 'Friday': '9:00- to 20:00', 'Saturday': '9:00- to 18:00', 'Sunday': 'Closed'}","Name: SOLOMON BARBERSHOP ZURICH | Address: Zypressenstrasse 54, 8004 Zurich | Categories: Missing",2842
